CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender
22907,14,AW00022907,NULL,Barry,NULL,6114 North Park Court,# 12,1 (11) 500 555-0114,00:00.0,0-1 Miles,Bac + 4,Professional,Profesional,Cadre,1,1,barry6@adventure-works.com,60000,2,2,Bachelors,Licenciatura,Sai,0,00:00.0,M,NULL,M
23413,22,AW00023413,NULL,Max,NULL,3187 Westwood Court,#71,1 (11) 500 555-0120,00:00.0,0-1 Miles,Bac + 4,Professional,Profesional,Cadre,1,1,max20@adventure-works.com,60000,2,2,Bachelors,Licenciatura,Ortega,0,00:00.0,M,NULL,M
23845,355,AW00023845,NULL,Madeline,NULL,6732 Arcadia Pl.,#e,632-555-0134,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,0,0,madeline4@adventure-works.com,60000,2,2,Bachelors,Licenciatura,Turner,0,00:00.0,S,NULL,F
24322,62,AW00024322,NULL,Alexandra,NULL,6114 North Park Court,# 12,889-555-0184,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,2,alexandra44@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Evans,0,00:00.0,M,NULL,F
25388,310,AW00025388,NULL,Ernest,NULL,6732 Arcadia Pl.,#e,829-555-0112,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,0,0,ernest19@adventure-works.com,60000,2,2,Bachelors,Licenciatura,Hu,0,00:00.0,S,NULL,M
26366,123,AW00026366,NULL,Johnathan,NULL,Lützowplatz 3859,#139,1 (11) 500 555-0118,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,2,johnathan12@adventure-works.com,30000,1,1,Bachelors,Licenciatura,Schmidt,0,00:00.0,M,NULL,M
26404,270,AW00026404,NULL,Trisha,NULL,3558 Pebble Glen Drive,# 214,1 (11) 500 555-0197,00:00.0,0-1 Miles,Bac + 4,Management,Gestión,Direction,1,3,trisha1@adventure-works.com,170000,0,5,Bachelors,Licenciatura,Wu,0,00:00.0,M,NULL,F
27083,627,AW00027083,NULL,Kevin,NULL,9208 West Rd,Unit E1,638-555-0180,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,kevin10@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Perry,0,00:00.0,M,NULL,M
11426,156,AW00011426,NULL,Kristopher,NULL,Herzogstr 328,Einkaufsabteilung,1 (11) 500 555-0181,00:00.0,10+ Miles,Bac + 4,Management,Gestión,Direction,1,4,kristopher12@adventure-works.com,110000,3,4,Bachelors,Licenciatura,Mehta,0,00:00.0,M,NULL,M
14390,369,AW00014390,NULL,Logan,NULL,6719 Santa Teresa Dr,# 1117,673-555-0165,00:00.0,2-5 Miles,Bac + 4,Management,Gestión,Direction,0,0,logan1@adventure-works.com,60000,2,1,Bachelors,Licenciatura,Kumar,0,00:00.0,M,NULL,M
14473,368,AW00014473,NULL,Miguel,NULL,7902 Grammercy Lane,Unit C,473-555-0153,00:00.0,2-5 Miles,Bac + 4,Management,Gestión,Direction,1,4,miguel27@adventure-works.com,160000,1,2,Bachelors,Licenciatura,King,0,00:00.0,M,NULL,M
15100,171,AW00015100,NULL,Brenda,NULL,Holzstr 7555,Kreditorenbuchhaltung,1 (11) 500 555-0176,00:00.0,5-10 Miles,Bac + 4,Management,Gestión,Direction,0,4,brenda6@adventure-works.com,110000,3,4,Bachelors,Licenciatura,Chandra,0,00:00.0,M,NULL,F
18493,7,AW00018493,NULL,Kaitlin,NULL,3543 Lori Dr.,Apt 110c,1 (11) 500 555-0134,00:00.0,2-5 Miles,Bac + 4,Management,Gestión,Direction,1,3,kaitlin14@adventure-works.com,100000,1,1,Bachelors,Licenciatura,McDonald,0,00:00.0,M,NULL,F
18831,298,AW00018831,NULL,Andy,NULL,5485 Wee Donegal,# 77,922-555-0148,00:00.0,5-10 Miles,Bac + 4,Management,Gestión,Direction,1,3,andy8@adventure-works.com,110000,1,3,Bachelors,Licenciatura,Hernandez,0,00:00.0,S,NULL,M
19798,12,AW00019798,NULL,Bianca,NULL,3165 Willowwood Ct.,Apt 213,1 (11) 500 555-0118,00:00.0,2-5 Miles,Bac + 4,Management,Gestión,Direction,1,4,bianca12@adventure-works.com,110000,4,1,Bachelors,Licenciatura,Ma,0,00:00.0,M,NULL,F
21802,372,AW00021802,NULL,Lucas,NULL,805 Stonyhill Circle,#67,651-555-0158,00:00.0,5-10 Miles,Bac + 4,Management,Gestión,Direction,1,1,lucas5@adventure-works.com,80000,3,1,Bachelors,Licenciatura,Roberts,0,00:00.0,M,NULL,M
23462,632,AW00023462,NULL,Seth,NULL,3836 Deer Meadow Way,# 174,513-555-0176,00:00.0,2-5 Miles,Bac + 4,Management,Gestión,Direction,1,4,seth3@adventure-works.com,100000,4,1,Bachelors,Licenciatura,Jones,0,00:00.0,M,NULL,M
24670,369,AW00024670,NULL,Alexandria,NULL,8280 Sequoia Court,# 1699,867-555-0177,00:00.0,10+ Miles,Bac + 4,Management,Gestión,Direction,1,2,alexandria4@adventure-works.com,70000,4,1,Bachelors,Licenciatura,Ross,0,00:00.0,S,NULL,F
24972,322,AW00024972,NULL,Edward,NULL,3121 Spar Court,#511,858-555-0161,00:00.0,2-5 Miles,Bac + 4,Management,Gestión,Direction,0,0,edward39@adventure-works.com,60000,2,1,Bachelors,Licenciatura,Garcia,0,00:00.0,S,NULL,M
11481,156,AW00011481,NULL,Erica,NULL,Am Gallberg 46,Einkaufsabteilung,1 (11) 500 555-0117,00:00.0,1-2 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,erica19@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Hu,0,00:00.0,M,NULL,F
12371,14,AW00012371,NULL,Stefanie,NULL,8433 Pacifica Avenue,#331,1 (11) 500 555-0113,00:00.0,5-10 Miles,Bac + 4,Professional,Profesional,Cadre,1,2,stefanie10@adventure-works.com,60000,3,2,Bachelors,Licenciatura,Subram,0,00:00.0,S,NULL,F
13888,616,AW00013888,NULL,Ian,NULL,4540 Wood Ranch Circle,Space 51,846-555-0173,00:00.0,2-5 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,1,ian5@adventure-works.com,70000,2,2,Bachelors,Licenciatura,Brown,0,00:00.0,S,NULL,M
14603,355,AW00014603,NULL,Sara,NULL,4827 San Marino Ct,Unit H103,115-555-0163,00:00.0,2-5 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,2,sara13@adventure-works.com,80000,3,3,Bachelors,Licenciatura,Ward,0,00:00.0,S,NULL,F
17092,153,AW00017092,NULL,Devon,NULL,Postfach 11 00 99,Verkaufsabteilung,1 (11) 500 555-0117,00:00.0,1-2 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,devon17@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Beck,0,00:00.0,M,NULL,M
22915,30,AW00022915,NULL,Carly,NULL,8533 Valley Oak Plaza,# 174,1 (11) 500 555-0149,00:00.0,10+ Miles,Bac + 4,Professional,Profesional,Cadre,1,4,carly1@adventure-works.com,70000,5,5,Bachelors,Licenciatura,Shen,0,00:00.0,M,NULL,F
24710,124,AW00024710,NULL,Brandy,NULL,Heiderplatz 789,Leiter der Abteilung,1 (11) 500 555-0121,00:00.0,1-2 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,1,brandy0@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Malhotra,0,00:00.0,M,NULL,F
13602,231,AW00013602,NULL,Virginia,NULL,3168 1 Drive,#118,1 (11) 500 555-0111,00:00.0,10+ Miles,Baccalauréat,Management,Gestión,Direction,1,2,virginia16@adventure-works.com,110000,4,5,Partial College,Estudios universitarios (en curso),Mehta,0,00:00.0,M,NULL,F
15381,631,AW00015381,NULL,Alexa,NULL,5041 Stillwater Court,# 205,769-555-0136,00:00.0,1-2 Miles,Baccalauréat,Professional,Profesional,Cadre,1,3,alexa9@adventure-works.com,100000,1,2,Partial College,Estudios universitarios (en curso),Howard,0,00:00.0,M,NULL,F
15397,301,AW00015397,NULL,Karl,NULL,2171 H Stagecoach Rd,#77,746-555-0140,00:00.0,2-5 Miles,Baccalauréat,Professional,Profesional,Cadre,0,4,karl4@adventure-works.com,110000,5,3,Partial College,Estudios universitarios (en curso),Tang,0,00:00.0,M,NULL,M
15625,142,AW00015625,NULL,Clinton,NULL,Berliner Platz 554,Verkaufsabteilung,1 (11) 500 555-0196,00:00.0,1-2 Miles,Baccalauréat,Clerical,Administrativo,Employé,1,1,clinton1@adventure-works.com,40000,1,1,Partial College,Estudios universitarios (en curso),Alvarez,0,00:00.0,M,NULL,M
16856,611,AW00016856,NULL,Erin,NULL,3812 Roundtree Drive,#5,134-555-0188,00:00.0,5-10 Miles,Baccalauréat,Professional,Profesional,Cadre,1,4,erin21@adventure-works.com,90000,5,4,Partial College,Estudios universitarios (en curso),Rivera,0,00:00.0,M,NULL,F
17117,310,AW00017117,NULL,Lydia,NULL,6812 Sands Circle,# 163,261-555-0151,00:00.0,0-1 Miles,Baccalauréat,Clerical,Administrativo,Employé,0,2,lydia8@adventure-works.com,40000,3,3,Partial College,Estudios universitarios (en curso),Prasad,0,00:00.0,M,NULL,F
18101,347,AW00018101,NULL,Bailey,NULL,8186 St. Michael Drive,#a,846-555-0146,00:00.0,10+ Miles,Baccalauréat,Professional,Profesional,Cadre,1,1,bailey26@adventure-works.com,70000,4,2,Partial College,Estudios universitarios (en curso),Turner,0,00:00.0,M,NULL,F
20547,56,AW00020547,NULL,Ethan,NULL,5960 Cross Road,# 20,911-555-0117,00:00.0,2-5 Miles,Baccalauréat,Professional,Profesional,Cadre,1,1,ethan22@adventure-works.com,70000,4,3,Partial College,Estudios universitarios (en curso),Chen,0,00:00.0,M,NULL,M
20615,8,AW00020615,NULL,Laura,NULL,4746 Clear Court,# 61,1 (11) 500 555-0188,00:00.0,10+ Miles,Baccalauréat,Management,Gestión,Direction,1,3,laura13@adventure-works.com,110000,0,5,Partial College,Estudios universitarios (en curso),Wu,0,00:00.0,S,NULL,F
21096,115,AW00021096,NULL,Jon,NULL,Hellweg 4934,Verkaufsabteilung,1 (11) 500 555-0117,00:00.0,0-1 Miles,Baccalauréat,Clerical,Administrativo,Employé,1,0,jon27@adventure-works.com,30000,3,3,Partial College,Estudios universitarios (en curso),Lin,0,00:00.0,S,NULL,M
22801,154,AW00022801,NULL,Alicia,NULL,Essener Straße 19,Einkaufsabteilung,1 (11) 500 555-0142,00:00.0,10+ Miles,Baccalauréat,Professional,Profesional,Cadre,1,4,alicia12@adventure-works.com,110000,3,4,Partial College,Estudios universitarios (en curso),Raje,0,00:00.0,M,NULL,F
23627,117,AW00023627,NULL,Adrienne,NULL,Buergermeister-ulrich-str 900,Einkaufsabteilung,1 (11) 500 555-0123,00:00.0,5-10 Miles,Baccalauréat,Management,Gestión,Direction,0,4,adrienne6@adventure-works.com,100000,3,4,Partial College,Estudios universitarios (en curso),Navarro,0,00:00.0,S,NULL,F
25496,222,AW00025496,NULL,Regina,NULL,1987 Jennifer Way,Unit F13,1 (11) 500 555-0118,00:00.0,0-1 Miles,Baccalauréat,Clerical,Administrativo,Employé,1,2,regina9@adventure-works.com,30000,2,2,Partial College,Estudios universitarios (en curso),Sara,0,00:00.0,M,NULL,F
26080,616,AW00026080,NULL,Sydney,NULL,8811 Medicine St.,# 44,684-555-0148,00:00.0,5-10 Miles,Baccalauréat,Professional,Profesional,Cadre,1,3,sydney47@adventure-works.com,100000,1,2,Partial College,Estudios universitarios (en curso),Roberts,0,00:00.0,M,NULL,F
26708,307,AW00026708,NULL,Katherine,NULL,3248 Birdhaven Court,# 1,601-555-0119,00:00.0,2-5 Miles,Baccalauréat,Professional,Profesional,Cadre,0,4,katherine39@adventure-works.com,110000,1,3,Partial College,Estudios universitarios (en curso),Washington,0,00:00.0,S,NULL,F
27433,310,AW00027433,NULL,Barry,NULL,3831 Golden Gate Way,# 203,774-555-0124,00:00.0,2-5 Miles,Baccalauréat,Professional,Profesional,Cadre,0,1,barry15@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Garcia,0,00:00.0,S,NULL,M
27618,641,AW00027618,NULL,Melanie,NULL,1525 Waterhigh St,# 198,208-555-0139,00:00.0,0-1 Miles,Baccalauréat,Professional,Profesional,Cadre,1,1,melanie9@adventure-works.com,100000,5,2,Partial College,Estudios universitarios (en curso),Diaz,0,00:00.0,M,NULL,F
28367,234,AW00028367,NULL,Jerome,NULL,692 Brook Way,#1988,1 (11) 500 555-0194,00:00.0,2-5 Miles,Baccalauréat,Manual,Obrero,Ouvrier,0,1,jerome5@adventure-works.com,20000,1,1,Partial College,Estudios universitarios (en curso),Johnsen,0,00:00.0,S,NULL,M
28399,250,AW00028399,NULL,Dale,NULL,6628 Ranch Drive,Box 21,1 (11) 500 555-0122,00:00.0,0-1 Miles,Baccalauréat,Clerical,Administrativo,Employé,1,0,dale1@adventure-works.com,30000,2,2,Partial College,Estudios universitarios (en curso),Deng,0,00:00.0,M,NULL,M
11212,53,AW00011212,NULL,Chloe,NULL,3562 East Ave.,# 4,205-555-0169,00:00.0,2-5 Miles,Bac + 2,Professional,Profesional,Cadre,1,2,chloe4@adventure-works.com,40000,2,1,High School,Educación secundaria,Campbell,0,00:00.0,M,NULL,F
13465,337,AW00013465,NULL,Sydney,NULL,1345 Blocking Circle,#3,134-555-0160,00:00.0,1-2 Miles,Bac + 3,Management,Gestión,Direction,1,4,sydney49@adventure-works.com,100000,2,2,Graduate Degree,Estudios de postgrado,Campbell,0,00:00.0,M,NULL,F
15113,127,AW00015113,NULL,Robert,NULL,Erftplatz 123,Verkaufsabteilung,1 (11) 500 555-0166,00:00.0,10+ Miles,Bac + 2,Professional,Profesional,Cadre,1,2,robert84@adventure-works.com,80000,5,2,High School,Educación secundaria,Smith,0,00:00.0,M,NULL,M
15164,339,AW00015164,NULL,Savannah,NULL,96 Citrus Ave.,Unit B,763-555-0163,00:00.0,5-10 Miles,Bac + 3,Management,Gestión,Direction,1,3,savannah23@adventure-works.com,100000,2,3,Graduate Degree,Estudios de postgrado,Collins,0,00:00.0,M,NULL,F
15702,240,AW00015702,NULL,Ruth,NULL,7950 H Pine Creek Way,#3,1 (11) 500 555-0139,00:00.0,0-1 Miles,Bac + 2,Professional,Profesional,Cadre,1,3,ruth18@adventure-works.com,130000,4,5,High School,Educación secundaria,Mehta,0,00:00.0,M,NULL,F
15736,300,AW00015736,NULL,Sheena,NULL,5707 Monte Vista Road,A211,161-555-0149,00:00.0,5-10 Miles,Bac + 3,Management,Gestión,Direction,1,2,sheena12@adventure-works.com,110000,2,4,Graduate Degree,Estudios de postgrado,Raje,0,00:00.0,M,NULL,F
15978,614,AW00015978,NULL,Xavier,NULL,7743 Ham Dr,Unit 2b,359-555-0138,00:00.0,5-10 Miles,Bac + 2,Professional,Profesional,Cadre,1,3,xavier20@adventure-works.com,90000,4,3,High School,Educación secundaria,Walker,0,00:00.0,M,NULL,M
16647,314,AW00016647,NULL,Anna,NULL,3029 Pastime Dr,# 2,150-555-0156,00:00.0,5-10 Miles,Bac + 3,Management,Gestión,Direction,1,3,anna44@adventure-works.com,120000,2,4,Graduate Degree,Estudios de postgrado,Alexander,0,00:00.0,M,NULL,F
18372,70,AW00018372,NULL,Jeremiah,NULL,4024 Montana,# 113,403-555-0173,00:00.0,0-1 Miles,Bac + 3,Skilled Manual,Obrero especializado,Technicien,1,0,jeremiah3@adventure-works.com,50000,1,1,Graduate Degree,Estudios de postgrado,Thomas,0,00:00.0,M,NULL,M
18584,637,AW00018584,NULL,Haley,NULL,7569 Sierra Drive,# 105,849-555-0179,00:00.0,0-1 Miles,Bac + 3,Professional,Profesional,Cadre,0,2,haley42@adventure-works.com,70000,5,5,Graduate Degree,Estudios de postgrado,Evans,0,00:00.0,M,NULL,F
20991,40,AW00020991,NULL,Frederick,NULL,8032 Gumwood,Unit 7c,1 (11) 500 555-0139,00:00.0,2-5 Miles,Bac + 2,Manual,Obrero,Ouvrier,1,0,frederick5@adventure-works.com,10000,1,1,High School,Educación secundaria,Sai,0,00:00.0,M,NULL,M
21782,536,AW00021782,NULL,Blake,NULL,8040 Erie Dr,6 Monteira,952-555-0176,00:00.0,10+ Miles,Bac + 2,Professional,Profesional,Cadre,1,2,blake14@adventure-works.com,40000,2,1,High School,Educación secundaria,Martin,0,00:00.0,S,NULL,M
23653,39,AW00023653,NULL,Devin,NULL,4746 Clear Court,# 45,1 (11) 500 555-0124,00:00.0,10+ Miles,Bac + 2,Management,Gestión,Direction,1,2,devin39@adventure-works.com,100000,0,5,High School,Educación secundaria,Campbell,0,00:00.0,S,NULL,M
24879,170,AW00024879,NULL,Desiree,NULL,Westheimer Straße 7606,Verkaufsabteilung,1 (11) 500 555-0186,00:00.0,10+ Miles,Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,4,desiree3@adventure-works.com,90000,4,1,Partial High School,Educación secundaria (en curso),Munoz,0,00:00.0,M,NULL,F
25892,60,AW00025892,NULL,Stephanie,NULL,3083 Boatwright Dr.,#6,192-555-0173,00:00.0,2-5 Miles,Bac + 2,Professional,Profesional,Cadre,1,2,stephanie28@adventure-works.com,60000,2,1,High School,Educación secundaria,Price,0,00:00.0,M,NULL,F
27403,54,AW00027403,NULL,Dylan,NULL,4513 Ten Penny Lane,#3,609-555-0146,00:00.0,1-2 Miles,Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,2,dylan4@adventure-works.com,30000,2,1,Partial High School,Educación secundaria (en curso),Coleman,0,00:00.0,S,NULL,M
28687,146,AW00028687,NULL,Javier,NULL,Rehstr 2242,Verkaufsabteilung,1 (11) 500 555-0180,00:00.0,0-1 Miles,Bac + 2,Manual,Obrero,Ouvrier,0,0,javier5@adventure-works.com,10000,2,2,High School,Educación secundaria,Gutierrez,0,00:00.0,S,NULL,M
28960,24,AW00028960,NULL,Jacquelyn,NULL,4024 Montana,# 113,1 (11) 500 555-0199,00:00.0,10+ Miles,Niveau bac,Professional,Profesional,Cadre,0,4,jacquelyn15@adventure-works.com,160000,3,5,Partial High School,Educación secundaria (en curso),Vazquez,0,00:00.0,M,NULL,F
29198,383,AW00029198,NULL,Faith,NULL,3558 Pebble Glen Drive,# 214,199-555-0117,00:00.0,10+ Miles,Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,faith28@adventure-works.com,60000,3,1,Partial High School,Educación secundaria (en curso),Ramirez,0,00:00.0,M,NULL,F
29228,345,AW00029228,NULL,Courtney,NULL,5518 Baldwin Dr.,# 215,189-555-0178,00:00.0,1-2 Miles,Bac + 3,Management,Gestión,Direction,0,3,courtney4@adventure-works.com,130000,1,2,Graduate Degree,Estudios de postgrado,Campbell,0,00:00.0,S,NULL,F
29383,230,AW00029383,NULL,Kaitlin,NULL,8435 Kenmore,B105,1 (11) 500 555-0113,00:00.0,0-1 Miles,Niveau bac,Manual,Obrero,Ouvrier,0,2,kaitlin4@adventure-works.com,10000,3,2,Partial High School,Educación secundaria (en curso),Vance,0,00:00.0,S,NULL,F
11063,634,AW00011063,NULL,Angela,NULL,4927 Virgil Street,# 21,451-555-0162,00:00.0,5-10 Miles,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,angela41@adventure-works.com,40000,0,0,High School,Educación secundaria,Murphy,0,00:00.0,S,NULL,F
14094,383,AW00014094,NULL,Amanda,NULL,220 Rambling Rose Ave.,# 103,486-555-0161,00:00.0,0-1 Miles,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,amanda41@adventure-works.com,40000,0,0,High School,Educación secundaria,Russell,0,00:00.0,S,NULL,F
14495,326,AW00014495,NULL,Nathan,NULL,6002 Hickory Drive,Studio # 403,164-555-0161,00:00.0,5-10 Miles,Baccalauréat,Professional,Profesional,Cadre,0,2,nathan18@adventure-works.com,40000,3,0,Partial College,Estudios universitarios (en curso),Diaz,0,00:00.0,M,NULL,M
16021,54,AW00016021,NULL,Shelby,NULL,9123 James Donlon Blvd,Unit C,967-555-0129,00:00.0,1-2 Miles,Niveau bac,Clerical,Administrativo,Employé,0,2,shelby24@adventure-works.com,40000,0,0,Partial High School,Educación secundaria (en curso),Sanchez,0,00:00.0,S,NULL,F
16735,626,AW00016735,NULL,Melissa,NULL,9737 Oak Creek Ct,#65,855-555-0159,00:00.0,0-1 Miles,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,melissa18@adventure-works.com,40000,0,0,High School,Educación secundaria,Hayes,0,00:00.0,S,NULL,F
21450,68,AW00021450,NULL,Nathan,NULL,7111 Stinson,Unit E,161-555-0172,00:00.0,1-2 Miles,Bac + 2,Professional,Profesional,Cadre,0,2,nathan14@adventure-works.com,40000,4,0,High School,Educación secundaria,Bryant,0,00:00.0,M,NULL,M
23009,49,AW00023009,NULL,Dalton,NULL,1431 Rancho View Drive,# 14,114-555-0191,00:00.0,5-10 Miles,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,dalton10@adventure-works.com,40000,0,0,High School,Educación secundaria,Thomas,0,00:00.0,M,NULL,M
23512,631,AW00023512,NULL,Zachary,NULL,551 Almond Ave,#30,818-555-0118,00:00.0,5-10 Miles,Baccalauréat,Professional,Profesional,Cadre,1,2,zachary3@adventure-works.com,40000,3,0,Partial College,Estudios universitarios (en curso),Henderson,0,00:00.0,M,NULL,M
24440,336,AW00024440,NULL,Jordyn,NULL,9351 W Lake Drive,# 18,278-555-0174,00:00.0,5-10 Miles,Baccalauréat,Professional,Profesional,Cadre,1,2,jordyn11@adventure-works.com,40000,3,0,Partial College,Estudios universitarios (en curso),Hughes,0,00:00.0,M,NULL,F
27461,648,AW00027461,NULL,Arianna,NULL,197 Adobe Dr,# 999,679-555-0142,00:00.0,5-10 Miles,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,arianna6@adventure-works.com,40000,0,0,High School,Educación secundaria,Coleman,0,00:00.0,S,NULL,F
27495,14,AW00027495,NULL,Nina,NULL,6650 Contuti Avenue,# 135,1 (11) 500 555-0150,00:00.0,1-2 Miles,Niveau bac,Clerical,Administrativo,Employé,0,2,nina6@adventure-works.com,40000,3,0,Partial High School,Educación secundaria (en curso),Luo,0,00:00.0,S,NULL,F
27912,634,AW00027912,NULL,Caitlin,NULL,3304 East Narrows Drive,# 103,280-555-0149,00:00.0,5-10 Miles,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,caitlin5@adventure-works.com,40000,0,0,High School,Educación secundaria,Ramirez,0,00:00.0,M,NULL,F
29344,5,AW00029344,NULL,Gilbert,NULL,2775 Delta View Ln.,#9,1 (11) 500 555-0115,00:00.0,5-10 Miles,Bac + 4,Management,Gestión,Direction,1,2,gilbert7@adventure-works.com,40000,2,0,Bachelors,Licenciatura,Ye,0,00:00.0,S,NULL,M
11314,618,AW00011314,NULL,Mya,NULL,8439 Rio Grande Drive,Unit A,522-555-0140,00:00.0,1-2 Miles,Bac + 3,Management,Gestión,Direction,0,2,mya13@adventure-works.com,70000,3,0,Graduate Degree,Estudios de postgrado,Flores,0,00:00.0,S,NULL,F
12082,315,AW00012082,NULL,Lauren,NULL,5379 Treasure Island Way,Bldg 14,694-555-0111,00:00.0,10+ Miles,Bac + 4,Management,Gestión,Direction,1,2,lauren0@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Sanchez,0,00:00.0,M,NULL,F
14493,374,AW00014493,NULL,Sara,NULL,8993 Escobar,#503,442-555-0156,00:00.0,1-2 Miles,Bac + 3,Management,Gestión,Direction,0,2,sara33@adventure-works.com,70000,3,0,Graduate Degree,Estudios de postgrado,Parker,0,00:00.0,S,NULL,F
15750,298,AW00015750,NULL,Kaitlin,NULL,3302 Trujillo,# 112,591-555-0116,00:00.0,0-1 Miles,Baccalauréat,Professional,Profesional,Cadre,0,2,kaitlin16@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Martinez,0,00:00.0,M,NULL,F
